MatchId,HomeTeam,AwayTeam,Season,Round,HomeScore,AwayScore
685,gloucester,newcastle,22/23,10,21,27
686,bath,leicester,22/23,10,19,18
687,leicester,london-irish,22/23,11,33,31
688,sale,bristol,22/23,11,25,20
689,harlequins,gloucester,22/23,11,21,12
690,newcastle,exeter-chiefs,22/23,11,24,21
691,bristol,leicester,22/23,12,26,26
692,gloucester,northampton,22/23,12,34,19
693,london-irish,newcastle,22/23,12,39,17
694,bath,harlequins,22/23,12,13,19
695,harlequins,bristol,22/23,13,12,15
696,exeter-chiefs,bath,22/23,13,20,15
697,leicester,gloucester,22/23,13,28,13
698,london-irish,saracens,22/23,13,29,20
699,newcastle,sale,22/23,13,20,14
700,northampton,harlequins,22/23,14,46,17
701,bath,newcastle,22/23,14,24,16
702,gloucester,london-irish,22/23,14,8,6
703,saracens,exeter-chiefs,22/23,14,35,3
704,sale,leicester,22/23,14,40,5
705,harlequins,sale,22/23,15,16,24
706,london-irish,bristol,22/23,15,23,7
707,exeter-chiefs,northampton,22/23,15,35,12
708,newcastle,leicester,22/23,15,45,26
709,gloucester,saracens,22/23,15,16,19
710,london-irish,harlequins,22/23,16,42,24
711,exeter-chiefs,gloucester,22/23,16,24,17
712,saracens,bristol,22/23,16,20,19
713,leicester,northampton,22/23,16,18,19
714,sale,bath,22/23,16,30,27
715,leicester,saracens,22/23,17,24,18
716,bath,london-irish,22/23,17,10,25
717,northampton,sale,22/23,17,38,34
718,bristol,newcastle,22/23,17,30,12
719,gloucester,harlequins,22/23,17,28,26
720,exeter-chiefs,sale,22/23,18,24,22
721,london-irish,leicester,22/23,18,22,25
722,northampton,gloucester,22/23,18,41,34
723,saracens,newcastle,22/23,18,29,23
724,bath,bristol,22/23,18,13,15
725,newcastle,london-irish,22/23,19,19,34
726,sale,saracens,22/23,19,35,24
727,harlequins,exeter-chiefs,22/23,19,40,5
728,leicester,bath,22/23,19,48,27
729,bristol,northampton,22/23,19,62,8
730,bristol,harlequins,22/23,20,51,26
731,gloucester,leicester,22/23,20,5,26
732,london-irish,sale,22/23,20,36,18
733,exeter-chiefs,newcastle,22/23,20,24,5
